[     181ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://127.0.0.1:3100/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js:776
[     234ms] [LOG] [HMR] connected @ http://127.0.0.1:3100/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js:776
[   45507ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://127.0.0.1:3100/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js:776
[   45515ms] [LOG] [HMR] connected @ http://127.0.0.1:3100/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js:776
[  116582ms] [LOG] [HMR] connected @ http://127.0.0.1:3100/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js:776
[  119537ms] [LOG] [Fast Refresh] rebuilding @ http://127.0.0.1:3100/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js:776
[  119586ms] [LOG] [Fast Refresh] done in 12ms @ http://127.0.0.1:3100/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js:776
[  120038ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://127.0.0.1:3100/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js:776
[  120045ms] [LOG] [HMR] connected @ http://127.0.0.1:3100/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js:776
[ 1230818ms] [LOG] [HMR] connected @ http://127.0.0.1:3100/_next/static/chunks/node_modules_next_dist_1e8vcs8._.js:776
[ 1928213ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3100/_next/hmr?id=9h36BKlsBoKgWFkz4UcUH' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3100/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[ 1929218ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3100/_next/hmr?id=9h36BKlsBoKgWFkz4UcUH' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3100/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[ 1930221ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3100/_next/hmr?id=9h36BKlsBoKgWFkz4UcUH' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3100/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[ 1931227ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3100/_next/hmr?id=9h36BKlsBoKgWFkz4UcUH' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3100/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[ 1932230ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3100/_next/hmr?id=9h36BKlsBoKgWFkz4UcUH' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3100/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[ 1937237ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3100/_next/hmr?id=9h36BKlsBoKgWFkz4UcUH' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3100/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[ 1942250ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3100/_next/hmr?id=9h36BKlsBoKgWFkz4UcUH' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3100/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[ 1947261ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3100/_next/hmr?id=9h36BKlsBoKgWFkz4UcUH' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3100/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[ 1952297ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3100/_next/hmr?id=9h36BKlsBoKgWFkz4UcUH' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3100/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[ 1957379ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3100/_next/hmr?id=9h36BKlsBoKgWFkz4UcUH' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3100/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[ 1962445ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3100/_next/hmr?id=9h36BKlsBoKgWFkz4UcUH' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3100/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
[ 1967562ms] [ERROR] WebSocket connection to 'ws://127.0.0.1:3100/_next/hmr?id=9h36BKlsBoKgWFkz4UcUH' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://127.0.0.1:3100/_next/static/chunks/node_modules_next_dist_client_0_90u2t._.js:16348
